sentence,sentiment,topic,processed_text
slide giáo trình đầy đủ .,2,general,slide giáo_trình đầy_đủ
"nhiệt tình giảng dạy , gần gũi với sinh viên .",2,general,nhiệt_tình giảng_dạy gần_gũi với sinh_viên
đi học đầy đủ full điểm chuyên cần .,0,general,đi học đầy_đủ full_điểm chuyên cần
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,general,chưa áp_dụng công_nghệ_thông_tin và các thiết_bị hỗ_trợ cho việc giảng_dạy
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,general,thầy giảng bài hay có nhiều bài_tập ví_dụ ngay trên lớp
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,general,giảng_viên đảm_bảo thời_gian lên lớp tích_cực trả_lời câu hỏi của sinh_viên thường_xuyên đặt câu hỏi cho sinh_viên
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,general,em sẽ nợ môn này nhưng em sẽ học lại ở các học_kỳ kế_tiếp
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,general,thời_lượng học quá dài không đảm_bảo tiếp_thu hiệu_quả
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,general,nội_dung môn_học có phần thiếu trọng_tâm hầu_như là chung_chung khái_quát khiến sinh_viên rất khó nắm được nội_dung môn_học
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,general,cần nói rõ hơn bằng cách trình_bày lên bảng thay_vì nhìn vào slide
thầy rất tận tình và đi dạy rất đúng giờ .,2,general,thầy rất tận_tình và đi dạy rất đúng giờ
dễ bị áp lực .,0,general,dễ bị áp_lực
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,general,đang dạy thầy wzjwz208 đi qua nước_ngoài giữa_chừng thầy wzjwz209 dạy thay
môn học còn dễ cần nâng độ khó lên nữa .,0,general,môn_học còn dễ cần nâng_độ khó lên nữa
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,general,có_thể cho sinh_viên đi thăm_quan nhiều công_ty xem quy_mô và cách làm_việc để giúp hiểu rõ hơn vê ngành mình đang học
hài lòng về tất cả .,2,general,hài_lòng về tất_cả
"nhiệt tình , vui vẻ .",2,general,nhiệt_tình vui_vẻ
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,general,thấy nhiệt_tình trong việc trao_đổi giúp_đỡ về học_tập
phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,general,phong_cách giảng_bài của thầy rất gần_gũi với sinh_viên
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,general,giảng_dạy kết_hợp các hoạt_động giải_trí có hiệu_quả
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,general,cần tạo các buổi seminar để sinh_viên có_thể hiểu sâu thêm về các vấn_đề trong chuyên_ngành nhưng không có trong môn_học
tiết học thoải mái .,2,general,tiết học thoải_mái
"thầy nhiệt tình , quan tâm tới sinh viên .",2,general,thầy nhiệt_tình quan_tâm tới sinh_viên
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,general,giảng_dạy nhiệt_tình hướng_dẫn chi_tiết đến lúc sinh_viên hiểu
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,general,chưa có nhiều tiết làm bài_tập chữa bài_tập trên lớp
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,general,tài_liệu được bổ_sung nhiều và đầy_đủ trên moodle
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,general,giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên
nên biên soạn một tài liệu của chính trường ta .,0,general,nên biên_soạn một tài_liệu của chính trường ta
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,general,không giúp_đỡ sinh_viên trong những vấn_đề xung_quanh
"bài tập đa dạng , cụ thể .",2,general,bài_tập đa_dạng cụ_thể
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,general,nội_dung giảng_viên yêu câu seminar hầu_như không có tài_liệu tham_khảo và rất ít ứng_dụng trong thực_tế đề_nghị có sự thay_đổi trong những năm_học tới
slide up đầy đủ trước mỗi buổi học .,2,general,slide up đầy_đủ trước mỗi buổi học
"nội dung giảng dạy quá nhàm chán , khô khan .",0,general,nội_dung giảng_dạy quá nhàm chán khô khan
lượng kiến thức quá nhiều trong một học kỳ .,0,general,lượng kiến_thức quá nhiều trong một học_kỳ
thầy chép bảng nhiều .,0,general,thầy chép bảng nhiều
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2,general,thầy tận_tình hướng_dẫn cách làm giải_quyết những thắc_mắc của sinh_viên
"chúc các thầy cô , anh chị làm việc vui vẻ !",2,general,chúc các thầy_cô anh_chị làm_việc vui_vẻ
"hay , nhiệt tình , dễ hiểu .",2,general,hay nhiệt_tình dễ hiểu
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,general,mặc_dù nhiệt_tình nhưng khi truyền_đạt thì lại khó hiểu sử_dụng_ngôn từ gây khó_khăn cho việc hiểu bài
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2,general,thầy dạy khá hay cung_cấp nhiều thông_tin liên_quan đến môn_học đưa ra nhiều hướng giải_quyết khi sinh_viên gặp vấn_đề khó_khăn với đồ_án
hy vọng học kỳ sau có thể học được với cô .,2,general,hy_vọng học_kỳ sau có_thể học được với cô
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,general,nhiều khi em lên lớp_học môn đặc_tả hình_thức giống như lên lớp_học mà không biết mình học cái gì
trong khi giảng nói nhỏ quá .,0,general,trong khi giảng nói_nhỏ quá
thực hành khó hiểu .,0,general,thực_hành khó hiểu
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,general,thầy rất tận_tâm nhiệt_tình quan_tâm đến sinh_viên giảng_bài dễ hiểu kiến_thức sâu_rộng am_hiểu cao
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2,general,cô dạy với nhiệt_huyết của mình dù như_thế_nào cô vẫn luôn mỉm cười và kiên_trì giảng bài cho chúng_em đến khi chúng_em hiểu
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2,general,cô lên_lớp đúng giờ giảng_bài rất dễ hiểu cho sinh_viên
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,general,những thông_tin cần_thiết như doubledot thời_gian dealine cách nộp bài thường không dặn lớp thực_hành thứ hai
"thầy nhiệt tình , dễ chịu .",2,general,thầy nhiệt_tình dễ_chịu
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,general,giảng_viên chưa đi_sâu vào bản_chất của vấn_đề em chỉ học thôi mà không biết bản_chất của nó là gì nó có ứng_dụng gì sau_này cho chuyên_ngành của em
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,general,đặc_biệt hơn là thầy đã bỏ rất nhiều công_sức trong việc ra bài_tập và chấm_điểm một_cách rõ_ràng và minh_bạch
cô rất nhiệt tình và tận dụng tốt thời gian .,2,general,cô rất nhiệt_tình và tận_dụng tốt thời_gian
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2,general,giảng_viên tận_tâm nhiệt_huyết trong giảng_dạy
"thầy nhiệt tình , gần gũi .",2,general,thầy nhiệt_tình gần_gũi
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,general,giảng_viên tận tâm_giảng dễ hiểu dễ tiếp_thu
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1,general,tạo ra sự cạnh_tranh trong mỗi buổi thực_hành
bài tập và có code tham khảo .,2,general,bài_tập và có code tham_khảo
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,general,cần nâng_cấp hệ_thống wifi vì khi vào phòng thực_hành sinh_viên không_thể truy_cập internet buộc phải xin phép ra ngoài để làm bài
tài liệu không chi tiết lắm .,0,general,tài_liệu không chi_tiết lắm
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2,general,tận tâm_nhiệt_tình vui_tính dễ gần với sinh_viên
thầy dạy rất hay và nhiệt tình .,2,general,thầy dạy rất hay và nhiệt_tình
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,general,thầy dạy không đúng giờ không hướng_dẫn sinh_viên thực_hành
giúp đỡ học sinh quá ít .,0,general,giúp_đỡ học_sinh quá ít
cô dạy buồn ngủ quá .,0,general,cô dạy buồn ngủ quá
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,general,nên kinh_mong nội_dung môn_học được giảm tải cho phù_hợp hơn với đặc_thù của một trường công_nghệ_thông_tin
thầy tận tình vui tính .,2,general,thầy tận_tình vui_tính
cô lại kiểu khó tính nữa .,0,general,cô lại kiểu khó_tính nữa
tạo hứng thú cho sinh viên .,2,general,tạo hứng_thú cho sinh_viên
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2,general,cô giảng hay cuốn_hút và truyền_đạt dễ hiểu
có hứng thú học .,2,general,có hứng_thú học
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,general,ôn_tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm
"giảng viên hướng dẫn cụ thể , chi tiết .",2,general,giảng_viên hướng_dẫn cụ_thể chi_tiết
giáo trình quá ít và nội dung không khác nhau là mấy .,0,general,giáo_trình quá ít và nội_dung không khác nhau là mấy
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,general,giáo_viên nghỉ dạy liên_tục cuối học_kỳ lại tăng học bù những tiết_học bù đó đã ảnh_hưởng đến những đồ_án và trễ deadline
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,general,giáo_viên lúc dạy lúc không không dạy cũng không thông_báo sinh_viên tốn thời_gian công_sức tiền_bạc rồi ngồi đợi và đi về
"cần có một phòng máy tốt hơn , hiện đại hơn .",0,general,cần có một phòng máy tốt hơn hiện_đại hơn
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,general,thầy nên cho làm bài_tập tương_tự nhau nhiều hơn một_vài bài để tránh tình_trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",0,general,không ngờ_môn này lại chán đến như_vậy không học được gì từ môn này thầy dạy chán kinh_khủng hay đi trễ từ 30 45 phút không nhiệt_tình
giảng viên đánh giá sai điểm và năng lực của học sinh .,0,general,giảng_viên đánh_giá sai_điểm và năng_lực của học_sinh
không đáp ứng được đề cương môn học đề ra .,0,general,không đáp_ứng được đề_cương môn_học đề ra
