sentence,sentiment,topic
slide giáo trình đầy đủ .,2,general
"nhiệt tình giảng dạy , gần gũi với sinh viên .",2,general
đi học đầy đủ full điểm chuyên cần .,0,general
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,general
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,general
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,general
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,general
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,general
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,general
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,general
thầy rất tận tình và đi dạy rất đúng giờ .,2,general
dễ bị áp lực .,0,general
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,general
môn học còn dễ cần nâng độ khó lên nữa .,0,general
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,general
hài lòng về tất cả .,2,general
"nhiệt tình , vui vẻ .",2,general
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,general
phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,general
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,general
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,general
tiết học thoải mái .,2,general
"thầy nhiệt tình , quan tâm tới sinh viên .",2,general
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,general
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,general
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,general
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,general
nên biên soạn một tài liệu của chính trường ta .,0,general
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,general
"bài tập đa dạng , cụ thể .",2,general
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,general
slide up đầy đủ trước mỗi buổi học .,2,general
"nội dung giảng dạy quá nhàm chán , khô khan .",0,general
lượng kiến thức quá nhiều trong một học kỳ .,0,general
thầy chép bảng nhiều .,0,general
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2,general
"chúc các thầy cô , anh chị làm việc vui vẻ !",2,general
"hay , nhiệt tình , dễ hiểu .",2,general
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,general
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2,general
hy vọng học kỳ sau có thể học được với cô .,2,general
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,general
trong khi giảng nói nhỏ quá .,0,general
thực hành khó hiểu .,0,general
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,general
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2,general
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2,general
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,general
"thầy nhiệt tình , dễ chịu .",2,general
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,general
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,general
cô rất nhiệt tình và tận dụng tốt thời gian .,2,general
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2,general
"thầy nhiệt tình , gần gũi .",2,general
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,general
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1,general
bài tập và có code tham khảo .,2,general
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,general
tài liệu không chi tiết lắm .,0,general
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2,general
thầy dạy rất hay và nhiệt tình .,2,general
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,general
giúp đỡ học sinh quá ít .,0,general
cô dạy buồn ngủ quá .,0,general
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,general
thầy tận tình vui tính .,2,general
cô lại kiểu khó tính nữa .,0,general
tạo hứng thú cho sinh viên .,2,general
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2,general
có hứng thú học .,2,general
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,general
"giảng viên hướng dẫn cụ thể , chi tiết .",2,general
giáo trình quá ít và nội dung không khác nhau là mấy .,0,general
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,general
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,general
"cần có một phòng máy tốt hơn , hiện đại hơn .",0,general
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,general
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",0,general
giảng viên đánh giá sai điểm và năng lực của học sinh .,0,general
không đáp ứng được đề cương môn học đề ra .,0,general
thầy nên hướng dẫn thực hành nhiều hơn .,0,general
"giảng viên thân thiện , quan tâm tới sinh viên .",2,general
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,general
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,general
thầy dạy rất tốt và nhiệt tình .,2,general
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,general
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,general
bài tập và hoạt động nhóm còn ít .,0,general
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,general
cô hướng dẫn thực hành khá đầy đủ .,2,general
được học nhiều kinh nghiệm từ thầy wzjwz163 .,2,general
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",2,general
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,general
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,general
dạy không phù hợp với cách học của em .,0,general
giải thích nội dung mới rõ ràng .,2,general
lớp học quá đông !,0,general
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,general
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,general
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,general
tôi cảm thấy giảng viên dạy rất tốt .,2,general
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,general
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,general
giảng viên thân thiện nhiệt tình cởi mở .,2,general
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,general
coi lại thái độ giảng viên thực hành .,0,general
"giảng viên nhiệt tình , giải nhiều bài tập .",2,general
bài giảng của thầy rất nhiệt tình .,2,general
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,general
dạy hơi nhanh !,0,general
ít làm bài tập .,0,general
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,general
"giảng viên nhiệt tình , bài giảng thu hút .",2,general
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",2,general
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,general
cần thêm nhiều tài liệu cho sinh viên .,0,general
bài tập trên lớp .,1,general
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,general
thầy nhiệt tình dễ hiểu .,2,general
thực hành và lý thuyết nên dạy song song .,0,general
giảng viên dạy nhanh .,0,general
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,general
giảng viên cho bài tập hay .,2,general
cập nhật bài tập mới .,0,general
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,general
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",2,general
phản hồi giải đáp thắc mắc cho sinh viên .,2,general
dạy quá nhanh .,0,general
mong ban thiết bị sớm khắc phục ạ !,0,general
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,general
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",0,general
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",2,general
"cô dạy rất tận tình , dễ hiểu .",2,general
không đáp ứng được nhu cầu của sinh viên .,0,general
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,2,general
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,2,general
"nhiệt tình , dễ thương .",2,general
không hướng dẫn đồ án .,0,general
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,0,general
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",0,general
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",0,general
đề thi môn dài sinh viên làm không đủ thời gian .,0,general
cho làm nhiều bài test .,0,general
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,0,general
cần thêm nhiều tài liệu cho môn học .,0,general
thầy giảng dạy tốt .,2,general
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,0,general
thầy cần cho bài tập và hướng dẫn nhiều hơn .,0,general
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",2,general
em thấy thầy chỉ giảng cho có .,0,general
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,0,general
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",2,general
dạy theo sát chương trình .,2,general
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,0,general
đề nghị nâng cấp phòng lab khoa mạng .,0,general
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",2,general
đi dạy đúng giờ .,2,general
